,Company,Average,Lowest,Highest,Python,aws,sql,keras,pytorch,scikit,tensor,hadoop,tableau,RoleName,Rel-Experience,Total_Exp,Prev-CTC
0,Tech Mahindra,937156.0,418054.0,2335432.0,1,0,0,0,0,0,0,0,1,0,0,4,448317.0
1,Optum,1508702.0,887265.0,2400000.0,1,0,0,0,0,0,0,0,0,0,0,8,1003118.0
2,HCL Technologies,887986.0,416339.0,1926785.0,1,0,0,0,0,0,0,0,0,0,0,3,477401.0
3,Genpact,972181.0,249195.0,2382853.0,1,0,1,0,0,0,0,0,0,0,0,4,655937.0
4,LTI,832677.0,246200.0,2600000.0,1,1,1,0,0,0,0,0,0,0,0,4,613464.0
5,UnitedHealth Group,1361430.0,514511.0,2048386.0,0,0,0,0,0,0,0,0,0,0,0,9,827455.0
6,Embibe,1452596.0,915998.0,2247916.0,1,1,1,0,1,0,1,0,0,0,0,8,1130767.0
7,Reliance Industries,982518.0,500000.0,2743551.0,0,0,0,0,0,0,0,0,0,0,1,3,769687.0
8,ABC,683081.0,197246.0,2041853.0,1,0,0,0,0,0,0,0,0,0,0,3,475452.0
9,Oracle,1531212.0,533108.0,4000000.0,1,0,0,0,0,0,0,0,0,0,0,10,834557.0
11,Nielsen,740158.0,631179.0,1413263.0,0,0,1,0,0,0,0,1,0,0,0,4,349548.0
12,Cyient,1046403.0,155256.0,1646131.0,1,1,1,0,0,0,0,0,1,1,0,6,1092534.0
13,Optum Global Solutions,1408050.0,368188.0,2150000.0,1,0,1,0,0,0,1,0,0,0,0,9,1155667.0
14,DXC Technology,973157.0,415326.0,2000000.0,0,0,0,0,0,0,0,0,0,2,0,4,502670.0
15,EXL Service,1151347.0,610485.0,1661303.0,0,0,0,0,0,0,0,0,0,0,1,5,674487.0
16,HP Inc.,1645967.0,746186.0,2967786.0,1,1,0,0,0,0,0,1,0,0,0,7,932119.0
17,Fresher,600000.0,254016.0,1000000.0,0,0,1,0,0,0,0,0,0,0,1,3,789722.0
18,Verizon,1281310.0,777450.0,2033829.0,1,0,1,1,1,1,1,0,0,0,1,6,1272115.0
20,Tata Consultancy Services (North America),763201.0,193913.0,2502101.0,0,0,0,0,0,0,0,0,0,0,0,4,378838.0
21,Thoucentric,868881.0,562093.0,1537408.0,1,1,1,0,0,0,0,0,0,0,1,3,687388.0
22,Bharti Airtel,2074121.0,1013700.0,2503677.0,1,0,1,0,0,0,0,0,1,0,1,9,1121366.0
23,Fuzzy Logix,1606145.0,576145.0,2328840.0,1,1,0,1,0,0,1,0,0,0,1,10,1252762.0
26,HiLabs,1980830.0,1821265.0,2814280.0,0,0,0,0,0,0,0,0,0,1,1,7,1191704.0
27,Atos-Syntel,904867.0,355025.0,3266964.0,0,1,0,0,0,0,0,0,0,0,0,4,462650.0
28,Myntra,2100379.0,583439.0,2400000.0,1,0,1,0,0,0,0,0,0,0,0,9,1143962.0
29,Walmart,2508786.0,1983692.0,3830994.0,1,0,0,0,0,0,0,0,0,0,1,7,1283103.0
30,Nagarro,1083115.0,426392.0,2185778.0,1,0,1,0,0,0,0,0,0,0,0,5,647149.0
31,AlgoAnalytics Financial Consultancy,770714.0,512808.0,1127515.0,1,0,0,0,1,1,0,0,0,0,1,4,702749.0
32,Bajaj Finance,1225112.0,196367.0,2443413.0,1,0,1,1,0,1,1,0,0,0,1,6,1133804.0
34,OYO,1300000.0,800000.0,2189339.0,1,0,1,0,0,0,0,0,1,1,0,10,1171634.0
35,Innominds Software,813024.0,539500.0,1219277.0,1,1,0,0,0,0,0,1,1,0,1,4,622208.0
36,Gramener,876841.0,812852.0,1436623.0,1,0,1,0,1,1,1,1,0,0,0,3,462310.0
37,Mercedes-Benz Research and Development India,1368504.0,714648.0,2123120.0,1,0,0,0,0,0,0,0,0,0,1,7,1246519.0
38,ABB,1110094.0,749305.0,1750316.0,1,0,1,0,0,0,0,0,0,2,0,6,997489.0
39,Housing.com,2119156.0,999578.0,2542988.0,1,1,1,0,0,0,0,0,1,1,1,8,1268688.0
40,Applied Data Finance,954982.0,514229.0,1600000.0,0,0,1,0,0,0,0,0,0,2,1,4,686108.0
41,NeenOpal,693349.0,368415.0,1219277.0,0,0,0,0,0,0,0,0,0,0,0,4,367000.0
42,Mastercard,2200255.0,200000.0,4096773.0,0,1,0,0,0,0,0,0,0,0,0,8,1151334.0
43,Fidelity Investments,2226029.0,1730517.0,3340698.0,1,0,1,0,0,1,0,1,1,0,0,10,1168486.0
45,[24]7.ai,1724231.0,1023374.0,2259250.0,1,0,1,0,0,0,0,0,1,0,1,7,1279678.0
46,Sigmoid,1349809.0,1117373.0,1828917.0,0,0,0,0,0,0,0,0,0,1,0,9,1075982.0
47,Affine,1051965.0,646587.0,2238274.0,0,0,0,0,0,0,0,0,0,0,0,5,348996.0
48,Brillio,1633628.0,999578.0,4292018.0,0,0,0,0,0,0,0,0,1,0,0,10,1138704.0
49,Blackstraw,1018490.0,360000.0,2332349.0,1,0,1,0,0,0,0,1,1,0,1,6,1275757.0
50,Innovaccer,1291000.0,658452.0,2743374.0,1,0,0,0,0,0,0,0,0,0,1,6,1210994.0
51,ThinkBumblebee Analytics,1114185.0,541558.0,1741129.0,1,0,0,0,0,0,0,0,1,0,1,6,1233298.0
52,DONE by NONE,631179.0,152632.0,2100000.0,1,0,1,0,0,0,0,0,0,0,1,3,694851.0
53,Citi,1687563.0,809132.0,2500000.0,0,0,1,0,0,0,0,0,1,0,0,10,809559.0
54,Lumiq (India),800000.0,631179.0,1668068.0,1,0,0,0,0,0,0,0,0,0,1,3,695052.0
55,NTT DATA,623893.0,318468.0,2143945.0,1,0,0,0,0,0,1,0,0,0,1,4,680967.0
56,Micron Technology,1578233.0,1000000.0,3114943.0,1,0,1,1,0,1,1,0,0,0,0,9,894510.0
57,Aaum Research and Analytics,486991.0,213552.0,1531389.0,0,0,0,0,0,0,0,0,0,0,1,2,156149.0
59,Antuit,1262461.0,641783.0,2000000.0,1,1,1,0,0,0,0,0,1,0,0,5,554946.0
60,Novartis,1436376.0,740042.0,3426438.0,1,1,1,0,0,0,0,1,1,0,0,9,900667.0
61,Cisco Systems,1584678.0,921037.0,2000000.0,0,0,1,0,0,0,0,0,0,0,0,10,918774.0
62,IQVIA,883421.0,480956.0,1433871.0,0,0,0,0,1,0,1,0,0,0,1,3,636061.0
63,Quadratic Insights,607969.0,371386.0,1616467.0,1,0,1,0,0,0,0,0,0,0,1,4,620228.0
64,Mindtree,1104063.0,200000.0,2500000.0,1,0,1,1,1,1,0,0,0,0,0,5,455080.0
65,Jotter,916228.0,700000.0,1071332.0,1,0,1,0,0,0,0,0,1,0,1,4,626513.0
66,Dell Technologies,1335067.0,726700.0,2356401.0,1,1,1,0,0,0,0,1,0,0,0,9,1066176.0
67,CitiusTech,865598.0,215529.0,1943624.0,0,0,0,0,0,0,0,0,0,0,0,3,582995.0
68,Siemens,1024465.0,530780.0,2274542.0,1,0,0,0,0,0,0,0,1,1,0,5,687262.0
70,Valiance Solutions,915335.0,532467.0,1554899.0,0,0,0,0,0,0,0,0,0,0,1,4,609895.0
